"HealthCareID","DateRangeStart","DateRangeEnd","SevenDayAdmit","SevenDayAdmitRatePer10"
136,"2021-02-03","2021-02-09",409,5.34
137,"2021-02-04","2021-02-10",406,5.30
138,"2021-02-05","2021-02-11",418,5.46
139,"2021-02-06","2021-02-12",424,5.54
140,"2021-02-07","2021-02-13",421,5.50
141,"2021-02-08","2021-02-14",416,5.43
142,"2021-02-09","2021-02-15",429,5.60
143,"2021-02-10","2021-02-16",438,5.72
144,"2021-02-11","2021-02-17",433,5.66
145,"2021-02-12","2021-02-18",416,5.43
146,"2021-02-13","2021-02-19",381,4.98
147,"2021-02-14","2021-02-20",370,4.83
148,"2021-02-15","2021-02-21",360,4.70
149,"2021-02-16","2021-02-22",336,4.39
150,"2021-02-17","2021-02-23",315,4.11
151,"2021-02-18","2021-02-24",304,3.97
152,"2021-02-19","2021-02-25",316,4.13
153,"2021-02-20","2021-02-26",314,4.10
154,"2021-02-21","2021-02-27",312,4.08
155,"2021-02-22","2021-02-28",315,4.11
156,"2021-02-23","2021-03-01",308,4.02
157,"2021-02-24","2021-03-02",317,4.14
158,"2021-02-25","2021-03-03",307,4.01
159,"2021-02-26","2021-03-04",283,3.70
160,"2021-02-27","2021-03-05",275,3.59
161,"2021-02-28","2021-03-06",265,3.46
162,"2021-03-01","2021-03-07",265,3.46
163,"2021-03-02","2021-03-08",248,3.24
164,"2021-03-03","2021-03-09",247,3.23
165,"2021-03-04","2021-03-10",261,3.41
166,"2021-03-05","2021-03-11",262,3.42
167,"2021-03-06","2021-03-12",273,3.57
168,"2021-03-07","2021-03-13",276,3.60
169,"2021-03-08","2021-03-14",280,3.66
170,"2021-03-09","2021-03-15",294,3.84
171,"2021-03-10","2021-03-16",287,3.75
172,"2021-03-11","2021-03-17",282,3.68
173,"2021-03-12","2021-03-18",282,3.68
174,"2021-03-13","2021-03-19",278,3.63
175,"2021-03-14","2021-03-20",274,3.58
176,"2021-03-15","2021-03-21",263,3.44
177,"2021-03-16","2021-03-22",252,3.29
178,"2021-03-17","2021-03-23",239,3.12
179,"2021-03-18","2021-03-24",237,3.10
