"HospitalAdmitRateDateRange","SevDayHospAdmitCount","SevDayHospAdmitRatePer100K","Population"
"2022-01-18  to  2022-01-24",2206,28.81000,7656200
"2022-01-19  to  2022-01-25",2169,28.33000,7656200
"2022-01-20  to  2022-01-26",2082,27.19000,7656200
"2022-01-21  to  2022-01-27",2055,26.84000,7656200
"2022-01-22  to  2022-01-28",2032,26.54000,7656200
"2022-01-23  to  2022-01-29",1968,25.70000,7656200
"2022-01-24  to  2022-01-30",1942,25.37000,7656200
"2022-01-25  to  2022-01-31",1949,25.46000,7656200
"2022-01-26  to  2022-02-01",1868,24.40000,7656200
"2022-01-27  to  2022-02-02",1854,24.22000,7656200
"2022-01-28  to  2022-02-03",1763,23.03000,7656200
"2022-01-29  to  2022-02-04",1724,22.52000,7656200
"2022-01-30  to  2022-02-05",1711,22.35000,7656200
"2022-01-31  to  2022-02-06",1641,21.43000,7656200
"2022-02-01  to  2022-02-07",1558,20.35000,7656200
"2022-02-02  to  2022-02-08",1539,20.10000,7656200
"2022-02-03  to  2022-02-09",1460,19.07000,7656200
"2022-02-04  to  2022-02-10",1416,18.49000,7656200
"2022-02-05  to  2022-02-11",1331,17.38000,7656200
"2022-02-06  to  2022-02-12",1299,16.97000,7656200
"2022-02-07  to  2022-02-13",1270,16.59000,7656200
"2022-02-08  to  2022-02-14",1219,15.92000,7656200
"2022-02-09  to  2022-02-15",1139,14.88000,7656200
"2022-02-10  to  2022-02-16",1080,14.11000,7656200
"2022-02-11  to  2022-02-17",1030,13.45000,7656200
"2022-02-12  to  2022-02-18",988,12.90000,7656200
"2022-02-13  to  2022-02-19",934,12.20000,7656200
"2022-02-14  to  2022-02-20",855,11.17000,7656200
"2022-02-15  to  2022-02-21",804,10.50000,7656200
"2022-02-16  to  2022-02-22",768,10.03000,7656200
"2022-02-17  to  2022-02-23",726,9.48000,7656200
"2022-02-18  to  2022-02-24",690,9.01000,7656200
"2022-02-19  to  2022-02-25",656,8.57000,7656200
"2022-02-20  to  2022-02-26",618,8.07000,7656200
"2022-02-21  to  2022-02-27",610,7.97000,7656200
"2022-02-22  to  2022-02-28",574,7.50000,7656200
"2022-02-23  to  2022-03-01",554,7.24000,7656200
"2022-02-24  to  2022-03-02",540,7.05000,7656200
"2022-02-25  to  2022-03-03",522,6.82000,7656200
"2022-02-26  to  2022-03-04",508,6.64000,7656200
"2022-02-27  to  2022-03-05",502,6.56000,7656200
"2022-02-28  to  2022-03-06",483,6.31000,7656200
"2022-03-01  to  2022-03-07",464,6.06000,7656200
"2022-03-02  to  2022-03-08",436,5.69000,7656200
"2022-03-03  to  2022-03-09",421,5.50000,7656200
"2022-03-04  to  2022-03-10",385,5.03000,7656200
"2022-03-05  to  2022-03-11",371,4.85000,7656200
"2022-03-06  to  2022-03-12",345,4.51000,7656200
"2022-03-07  to  2022-03-13",330,4.31000,7656200
"2022-03-08  to  2022-03-14",319,4.17000,7656200
"2022-03-09  to  2022-03-15",302,3.94000,7656200
"2022-03-10  to  2022-03-16",282,3.68000,7656200
"2022-03-11  to  2022-03-17",257,3.36000,7656200
"2022-03-12  to  2022-03-18",252,3.29000,7656200
"2022-03-13  to  2022-03-19",256,3.34000,7656200
"2022-03-14  to  2022-03-20",243,3.17000,7656200
"2022-03-15  to  2022-03-21",239,3.12000,7656200
"2022-03-16  to  2022-03-22",234,3.06000,7656200
"2022-03-17  to  2022-03-23",231,3.02000,7656200
"2022-03-18  to  2022-03-24",228,2.98000,7656200
"2022-03-19  to  2022-03-25",217,2.83000,7656200
"2022-03-20  to  2022-03-26",220,2.87000,7656200
"2022-03-21  to  2022-03-27",220,2.87000,7656200
"2022-03-22  to  2022-03-28",213,2.78000,7656200
"2022-03-23  to  2022-03-29",214,2.80000,7656200
"2022-03-24  to  2022-03-30",213,2.78000,7656200
"2022-03-25  to  2022-03-31",216,2.82000,7656200
"2022-03-26  to  2022-04-01",223,2.91000,7656200
"2022-03-27  to  2022-04-02",212,2.77000,7656200
"2022-03-28  to  2022-04-03",199,2.60000,7656200
"2022-03-29  to  2022-04-04",202,2.64000,7656200
"2022-03-30  to  2022-04-05",186,2.43000,7656200
"2022-03-31  to  2022-04-06",188,2.46000,7656200
"2022-04-01  to  2022-04-07",190,2.48000,7656200
"2022-04-02  to  2022-04-08",200,2.61000,7656200
"2022-04-03  to  2022-04-09",222,2.90000,7656200
"2022-04-04  to  2022-04-10",228,2.98000,7656200
"2022-04-05  to  2022-04-11",235,3.07000,7656200
"2022-04-06  to  2022-04-12",247,3.23000,7656200
"2022-04-07  to  2022-04-13",241,3.15000,7656200
"2022-04-08  to  2022-04-14",257,3.36000,7656200
"2022-04-09  to  2022-04-15",238,3.11000,7656200
"2022-04-10  to  2022-04-16",240,3.13000,7656200
"2022-04-11  to  2022-04-17",269,3.51000,7656200
"2022-04-12  to  2022-04-18",276,3.60000,7656200
"2022-04-13  to  2022-04-19",303,3.96000,7656200
"2022-04-14  to  2022-04-20",311,4.06000,7656200
"2022-04-15  to  2022-04-21",319,4.17000,7656200
"2022-04-16  to  2022-04-22",348,4.55000,7656200
"2022-04-17  to  2022-04-23",340,4.44000,7656200
"2022-04-18  to  2022-04-24",326,4.26000,7656200
"2022-04-19  to  2022-04-25",367,4.79000,7656200
"2022-04-20  to  2022-04-26",383,5.00000,7656200
"2022-04-21  to  2022-04-27",411,5.37000,7656200
"2022-04-22  to  2022-04-28",405,5.29000,7656200
"2022-04-23  to  2022-04-29",394,5.15000,7656200
"2022-04-24  to  2022-04-30",407,5.32000,7656200
"2022-04-25  to  2022-05-01",413,5.39000,7656200
"2022-04-26  to  2022-05-02",376,4.91000,7656200
"2022-04-27  to  2022-05-03",365,4.77000,7656200
"2022-04-28  to  2022-05-04",350,4.57000,7656200
"2022-04-29  to  2022-05-05",362,4.73000,7656200
"2022-04-30  to  2022-05-06",367,4.79000,7656200
"2022-05-01  to  2022-05-07",364,4.75000,7656200
"2022-05-02  to  2022-05-08",364,4.75000,7656200
"2022-05-03  to  2022-05-09",372,4.86000,7656200
"2022-05-04  to  2022-05-10",365,4.77000,7656200
"2022-05-05  to  2022-05-11",373,4.87000,7656200
"2022-05-06  to  2022-05-12",374,4.88000,7656200
"2022-05-07  to  2022-05-13",393,5.13000,7656200
"2022-05-08  to  2022-05-14",418,5.46000,7656200
"2022-05-09  to  2022-05-15",431,5.63000,7656200
"2022-05-10  to  2022-05-16",431,5.63000,7656200
"2022-05-11  to  2022-05-17",460,6.01000,7656200
"2022-05-12  to  2022-05-18",474,6.19000,7656200
"2022-05-13  to  2022-05-19",495,6.47000,7656200
"2022-05-14  to  2022-05-20",494,6.45000,7656200
"2022-05-15  to  2022-05-21",481,6.28000,7656200
"2022-05-16  to  2022-05-22",494,6.45000,7656200
"2022-05-17  to  2022-05-23",507,6.62000,7656200
"2022-05-18  to  2022-05-24",497,6.49000,7656200
"2022-05-19  to  2022-05-25",507,6.62000,7656200
"2022-05-20  to  2022-05-26",508,6.64000,7656200
"2022-05-21  to  2022-05-27",520,6.79000,7656200
"2022-05-22  to  2022-05-28",518,6.77000,7656200
"2022-05-23  to  2022-05-29",526,6.87000,7656200
"2022-05-24  to  2022-05-30",523,6.83000,7656200
"2022-05-25  to  2022-05-31",540,7.05000,7656200
"2022-05-26  to  2022-06-01",547,7.14000,7656200
"2022-05-27  to  2022-06-02",545,7.12000,7656200
"2022-05-28  to  2022-06-03",560,7.31000,7656200
"2022-05-29  to  2022-06-04",561,7.33000,7656200
"2022-05-30  to  2022-06-05",564,7.37000,7656200
"2022-05-31  to  2022-06-06",564,7.37000,7656200
"2022-06-01  to  2022-06-07",570,7.44000,7656200
"2022-06-02  to  2022-06-08",555,7.25000,7656200
"2022-06-03  to  2022-06-09",564,7.37000,7656200
"2022-06-04  to  2022-06-10",546,7.13000,7656200
"2022-06-05  to  2022-06-11",554,7.24000,7656200
"2022-06-06  to  2022-06-12",546,7.13000,7656200
"2022-06-07  to  2022-06-13",546,7.13000,7656200
"2022-06-08  to  2022-06-14",547,7.14000,7656200
"2022-06-09  to  2022-06-15",548,7.16000,7656200
"2022-06-10  to  2022-06-16",548,7.16000,7656200
"2022-06-11  to  2022-06-17",563,7.35000,7656200
"2022-06-12  to  2022-06-18",578,7.55000,7656200
"2022-06-13  to  2022-06-19",581,7.59000,7656200
"2022-06-14  to  2022-06-20",565,7.38000,7656200
"2022-06-15  to  2022-06-21",573,7.48000,7656200
"2022-06-16  to  2022-06-22",601,7.85000,7656200
"2022-06-17  to  2022-06-23",622,8.12000,7656200
"2022-06-18  to  2022-06-24",642,8.39000,7656200
"2022-06-19  to  2022-06-25",646,8.44000,7656200
"2022-06-20  to  2022-06-26",672,8.78000,7656200
"2022-06-21  to  2022-06-27",740,9.67000,7656200
"2022-06-22  to  2022-06-28",748,9.77000,7656200
"2022-06-23  to  2022-06-29",738,9.64000,7656200
"2022-06-24  to  2022-06-30",736,9.61000,7656200
"2022-06-25  to  2022-07-01",733,9.57000,7656200
"2022-06-26  to  2022-07-02",743,9.70000,7656200
"2022-06-27  to  2022-07-03",731,9.55000,7656200
"2022-06-28  to  2022-07-04",702,9.17000,7656200
"2022-06-29  to  2022-07-05",706,9.22000,7656200
"2022-06-30  to  2022-07-06",737,9.63000,7656200
"2022-07-01  to  2022-07-07",778,10.16000,7656200
"2022-07-02  to  2022-07-08",788,10.29000,7656200
"2022-07-03  to  2022-07-09",770,10.06000,7656200
"2022-07-04  to  2022-07-10",790,10.32000,7656200
"2022-07-05  to  2022-07-11",824,10.76000,7656200
"2022-07-06  to  2022-07-12",818,10.68000,7656200
"2022-07-07  to  2022-07-13",822,10.74000,7656200
"2022-07-08  to  2022-07-14",807,10.54000,7656200
"2022-07-09  to  2022-07-15",802,10.48000,7656200
"2022-07-10  to  2022-07-16",841,10.98000,7656200
"2022-07-11  to  2022-07-17",836,10.92000,7656200
"2022-07-12  to  2022-07-18",832,10.87000,7656200
"2022-07-13  to  2022-07-19",859,11.22000,7656200
"2022-07-14  to  2022-07-20",851,11.12000,7656200
"2022-07-15  to  2022-07-21",861,11.25000,7656200
"2022-07-16  to  2022-07-22",837,10.93000,7656200
"2022-07-17  to  2022-07-23",805,10.51000,7656200
"2022-07-18  to  2022-07-24",795,10.38000,7656200
"2022-07-19  to  2022-07-25",770,10.06000,7656200
"2022-07-20  to  2022-07-26",753,9.84000,7656200
"2022-07-21  to  2022-07-27",709,9.26000,7656200
"2022-07-22  to  2022-07-28",673,8.79000,7656200
"2022-07-23  to  2022-07-29",687,8.97000,7656200
"2022-07-24  to  2022-07-30",681,8.89000,7656200
"2022-07-25  to  2022-07-31",668,8.72000,7656200
"2022-07-26  to  2022-08-01",669,8.74000,7656200
"2022-07-27  to  2022-08-02",643,8.40000,7656200
"2022-07-28  to  2022-08-03",647,8.45000,7656200
"2022-07-29  to  2022-08-04",628,8.20000,7656200
"2022-07-30  to  2022-08-05",620,8.10000,7656200
"2022-07-31  to  2022-08-06",608,7.94000,7656200
"2022-08-01  to  2022-08-07",613,8.01000,7656200
"2022-08-02  to  2022-08-08",610,7.97000,7656200
"2022-08-03  to  2022-08-09",594,7.76000,7656200
"2022-08-04  to  2022-08-10",590,7.71000,7656200
"2022-08-05  to  2022-08-11",603,7.88000,7656200
"2022-08-06  to  2022-08-12",584,7.63000,7656200
"2022-08-07  to  2022-08-13",594,7.76000,7656200
"2022-08-08  to  2022-08-14",574,7.50000,7656200
"2022-08-09  to  2022-08-15",558,7.29000,7656200
"2022-08-10  to  2022-08-16",538,7.03000,7656200
"2022-08-11  to  2022-08-17",534,6.97000,7656200
"2022-08-12  to  2022-08-18",519,6.78000,7656200
"2022-08-13  to  2022-08-19",542,7.08000,7656200
"2022-08-14  to  2022-08-20",516,6.74000,7656200
"2022-08-15  to  2022-08-21",519,6.78000,7656200
"2022-08-16  to  2022-08-22",518,6.77000,7656200
"2022-08-17  to  2022-08-23",519,6.78000,7656200
"2022-08-18  to  2022-08-24",503,6.57000,7656200
"2022-08-19  to  2022-08-25",494,6.45000,7656200
"2022-08-20  to  2022-08-26",473,6.18000,7656200
"2022-08-21  to  2022-08-27",492,6.43000,7656200
"2022-08-22  to  2022-08-28",496,6.48000,7656200
"2022-08-23  to  2022-08-29",483,6.31000,7656200
"2022-08-24  to  2022-08-30",510,6.66000,7656200
"2022-08-25  to  2022-08-31",519,6.78000,7656200
"2022-08-26  to  2022-09-01",495,6.47000,7656200
"2022-08-27  to  2022-09-02",486,6.35000,7656200
"2022-08-28  to  2022-09-03",479,6.26000,7656200
"2022-08-29  to  2022-09-04",461,6.02000,7656200
"2022-08-30  to  2022-09-05",449,5.86000,7656200
"2022-08-31  to  2022-09-06",438,5.72000,7656200
"2022-09-01  to  2022-09-07",437,5.71000,7656200
"2022-09-02  to  2022-09-08",453,5.92000,7656200
"2022-09-03  to  2022-09-09",441,5.76000,7656200
"2022-09-04  to  2022-09-10",407,5.32000,7656200
"2022-09-05  to  2022-09-11",397,5.19000,7656200
"2022-09-06  to  2022-09-12",399,5.21000,7656200
"2022-09-07  to  2022-09-13",379,4.95000,7656200
"2022-09-08  to  2022-09-14",392,5.12000,7656200
"2022-09-09  to  2022-09-15",388,5.07000,7656200
"2022-09-10  to  2022-09-16",395,5.16000,7656200
"2022-09-11  to  2022-09-17",416,5.43000,7656200
"2022-09-12  to  2022-09-18",423,5.52000,7656200
"2022-09-13  to  2022-09-19",424,5.54000,7656200
"2022-09-14  to  2022-09-20",450,5.88000,7656200
"2022-09-15  to  2022-09-21",425,5.55000,7656200
"2022-09-16  to  2022-09-22",432,5.64000,7656200
"2022-09-17  to  2022-09-23",423,5.52000,7656200
"2022-09-18  to  2022-09-24",447,5.84000,7656200
"2022-09-19  to  2022-09-25",441,5.76000,7656200
"2022-09-20  to  2022-09-26",448,5.85000,7656200
"2022-09-21  to  2022-09-27",432,5.64000,7656200
"2022-09-22  to  2022-09-28",438,5.72000,7656200
"2022-09-23  to  2022-09-29",432,5.64000,7656200
"2022-09-24  to  2022-09-30",414,5.41000,7656200
"2022-09-25  to  2022-10-01",383,5.00000,7656200
"2022-09-26  to  2022-10-02",376,4.91000,7656200
"2022-09-27  to  2022-10-03",369,4.82000,7656200
"2022-09-28  to  2022-10-04",366,4.78000,7656200
"2022-09-29  to  2022-10-05",356,4.65000,7656200
"2022-09-30  to  2022-10-06",333,4.35000,7656200
"2022-10-01  to  2022-10-07",326,4.26000,7656200
"2022-10-02  to  2022-10-08",306,4.00000,7656200
"2022-10-03  to  2022-10-09",303,3.96000,7656200
"2022-10-04  to  2022-10-10",301,3.93000,7656200
"2022-10-05  to  2022-10-11",286,3.74000,7656200
"2022-10-06  to  2022-10-12",276,3.60000,7656200
"2022-10-07  to  2022-10-13",277,3.62000,7656200
"2022-10-08  to  2022-10-14",294,3.84000,7656200
"2022-10-09  to  2022-10-15",311,4.06000,7656200
"2022-10-10  to  2022-10-16",299,3.91000,7656200
"2022-10-11  to  2022-10-17",269,3.51000,7656200
"2022-10-12  to  2022-10-18",243,3.17000,7656200
"2022-10-13  to  2022-10-19",245,3.20000,7656200
"2022-10-14  to  2022-10-20",250,3.27000,7656200
"2022-10-15  to  2022-10-21",243,3.17000,7656200
"2022-10-16  to  2022-10-22",229,2.99000,7656200
"2022-10-17  to  2022-10-23",241,3.15000,7656200
"2022-10-18  to  2022-10-24",260,3.40000,7656200
"2022-10-19  to  2022-10-25",292,3.81000,7656200
"2022-10-20  to  2022-10-26",295,3.85000,7656200
"2022-10-21  to  2022-10-27",294,3.84000,7656200
"2022-10-22  to  2022-10-28",305,3.98000,7656200
"2022-10-23  to  2022-10-29",314,4.10000,7656200
"2022-10-24  to  2022-10-30",317,4.14000,7656200
"2022-10-25  to  2022-10-31",306,4.00000,7656200
"2022-10-26  to  2022-11-01",298,3.89000,7656200
"2022-10-27  to  2022-11-02",291,3.80000,7656200
"2022-10-28  to  2022-11-03",299,3.91000,7656200
"2022-10-29  to  2022-11-04",298,3.89000,7656200
"2022-10-30  to  2022-11-05",306,4.00000,7656200
"2022-10-31  to  2022-11-06",307,4.01000,7656200
"2022-11-01  to  2022-11-07",312,4.08000,7656200
"2022-11-02  to  2022-11-08",305,3.98000,7656200
"2022-11-03  to  2022-11-09",310,4.05000,7656200
"2022-11-04  to  2022-11-10",280,3.66000,7656200
"2022-11-05  to  2022-11-11",261,3.41000,7656200
"2022-11-06  to  2022-11-12",260,3.40000,7656200
"2022-11-07  to  2022-11-13",261,3.41000,7656200
"2022-11-08  to  2022-11-14",266,3.47000,7656200
"2022-11-09  to  2022-11-15",275,3.59000,7656200
"2022-11-10  to  2022-11-16",276,3.60000,7656200
"2022-11-11  to  2022-11-17",301,3.93000,7656200
"2022-11-12  to  2022-11-18",320,4.18000,7656200
"2022-11-13  to  2022-11-19",330,4.31000,7656200
"2022-11-14  to  2022-11-20",318,4.15000,7656200
"2022-11-15  to  2022-11-21",329,4.30000,7656200
"2022-11-16  to  2022-11-22",336,4.39000,7656200
"2022-11-17  to  2022-11-23",351,4.58000,7656200
"2022-11-18  to  2022-11-24",362,4.73000,7656200
"2022-11-19  to  2022-11-25",351,4.58000,7656200
"2022-11-20  to  2022-11-26",357,4.66000,7656200
"2022-11-21  to  2022-11-27",384,5.02000,7656200
"2022-11-22  to  2022-11-28",389,5.08000,7656200
"2022-11-23  to  2022-11-29",404,5.28000,7656200
"2022-11-24  to  2022-11-30",415,5.42000,7656200
"2022-11-25  to  2022-12-01",413,5.39000,7656200
"2022-11-26  to  2022-12-02",442,5.77000,7656200
"2022-11-27  to  2022-12-03",418,5.46000,7656200
"2022-11-28  to  2022-12-04",412,5.38000,7656200
"2022-11-29  to  2022-12-05",402,5.25000,7656200
"2022-11-30  to  2022-12-06",399,5.21000,7656200
"2022-12-01  to  2022-12-07",400,5.22000,7656200
"2022-12-02  to  2022-12-08",389,5.08000,7656200
"2022-12-03  to  2022-12-09",384,5.02000,7656200
"2022-12-04  to  2022-12-10",391,5.11000,7656200
"2022-12-05  to  2022-12-11",379,4.95000,7656200
"2022-12-06  to  2022-12-12",394,5.15000,7656200
"2022-12-07  to  2022-12-13",378,4.94000,7656200
"2022-12-08  to  2022-12-14",359,4.69000,7656200
"2022-12-09  to  2022-12-15",358,4.68000,7656200
"2022-12-10  to  2022-12-16",361,4.72000,7656200
"2022-12-11  to  2022-12-17",372,4.86000,7656200
"2022-12-12  to  2022-12-18",379,4.95000,7656200
"2022-12-13  to  2022-12-19",394,5.15000,7656200
"2022-12-14  to  2022-12-20",407,5.32000,7656200
"2022-12-15  to  2022-12-21",419,5.47000,7656200
"2022-12-16  to  2022-12-22",434,5.67000,7656200
"2022-12-17  to  2022-12-23",423,5.52000,7656200
"2022-12-18  to  2022-12-24",422,5.51000,7656200
"2022-12-19  to  2022-12-25",422,5.51000,7656200
"2022-12-20  to  2022-12-26",402,5.25000,7656200
"2022-12-21  to  2022-12-27",384,5.02000,7656200
"2022-12-22  to  2022-12-28",378,4.94000,7656200
"2022-12-23  to  2022-12-29",390,5.09000,7656200
"2022-12-24  to  2022-12-30",404,5.28000,7656200
"2022-12-25  to  2022-12-31",404,5.28000,7656200
"2022-12-26  to  2023-01-01",425,5.55000,7656200
"2022-12-27  to  2023-01-02",430,5.62000,7656200
"2022-12-28  to  2023-01-03",462,6.03000,7656200
"2022-12-29  to  2023-01-04",465,6.07000,7656200
"2022-12-30  to  2023-01-05",464,6.06000,7656200
"2022-12-31  to  2023-01-06",454,5.93000,7656200
"2023-01-01  to  2023-01-07",455,5.94000,7656200
"2023-01-02  to  2023-01-08",444,5.80000,7656200
"2023-01-03  to  2023-01-09",421,5.50000,7656200
"2023-01-04  to  2023-01-10",412,5.38000,7656200
"2023-01-05  to  2023-01-11",416,5.43000,7656200
"2023-01-06  to  2023-01-12",397,5.19000,7656200
"2023-01-07  to  2023-01-13",396,5.17000,7656200
"2023-01-08  to  2023-01-14",407,5.32000,7656200
"2023-01-09  to  2023-01-15",395,5.16000,7656200
"2023-01-10  to  2023-01-16",423,5.52000,7656200
"2023-01-11  to  2023-01-17",416,5.43000,7656200
"2023-01-12  to  2023-01-18",421,5.50000,7656200
"2023-01-13  to  2023-01-19",416,5.43000,7656200
"2023-01-14  to  2023-01-20",419,5.47000,7656200
"2023-01-15  to  2023-01-21",408,5.33000,7656200
"2023-01-16  to  2023-01-22",407,5.32000,7656200
"2023-01-17  to  2023-01-23",390,5.09000,7656200
"2023-01-18  to  2023-01-24",385,5.03000,7656200
"2023-01-19  to  2023-01-25",364,4.75000,7656200
"2023-01-20  to  2023-01-26",376,4.91000,7656200
"2023-01-21  to  2023-01-27",372,4.86000,7656200
"2023-01-22  to  2023-01-28",369,4.82000,7656200
"2023-01-23  to  2023-01-29",369,4.82000,7656200
"2023-01-24  to  2023-01-30",363,4.74000,7656200
"2023-01-25  to  2023-01-31",305,3.98000,7656200
